TAXID,Lib4_3,Lib4_7,s_02,Lib3_6,Lib4_6,Lib4_1,Lib4_4,Lib4_8,Lib4_5,Lib4_2,Lib3_9
33032,0,0,0,0,0,0,0,0,0,0,0
1287640,0,0,0,0,0,0,0,0,0,0,0
33034,0,0,0,0,0,0,0,0,0,0,0
33037,0,0,0,0,0,0,0,0,0,0,0
214853,0,0,0,0,0,0,0,0,0,0,0
156456,0,0,0,0,0,0,0,0,0,0,0
105841,0,0,0,0,0,0,0,0,0,0,0
649756,0,0,0,0,0,0,0,0,0,0,0
169435,0,0,0,0,0,0,0,0,0,0,0
28197,0,0,0,0,0,0,0,0,0,0,0
256701,0,3,0,2,44,0,3,71,57,0,0
43663,0,0,0,0,0,0,0,0,0,0,0
254787,0,0,0,0,0,0,0,0,0,0,0
1665,0,0,0,0,0,0,0,0,0,0,0
1381,0,0,0,0,0,0,0,0,0,0,0
1382,0,0,0,0,0,0,0,0,0,0,0
1383,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0
1445,0,6,0,0,0,0,0,0,0,0,0
1452,0,0,0,0,0,0,0,0,0,0,0
135735,0,0,0,0,0,0,0,0,0,0,0
86665,0,0,0,0,0,0,0,0,0,0,0
412383,0,13,61,8,3,3,1,0,44,0,0
1402,0,0,0,0,0,0,0,0,0,0,0
1404,0,0,0,0,0,0,0,0,0,0,0
72360,0,0,0,0,0,0,0,0,0,0,0
665099,0,0,0,1,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,0,0,0,0
1423,0,0,0,0,0,0,0,0,0,0,0
47678,0,7,0,0,0,0,0,0,0,0,0
246787,0,0,0,0,0,0,0,9,0,0,0
626929,0,0,0,0,0,0,0,0,0,0,0
310298,14,81,0,0,0,0,105,0,0,0,0
387090,0,60,0,0,0,0,0,0,0,0,0
357276,0,3,18,0,2,0,0,3,0,0,4
28111,0,0,0,0,0,0,0,0,0,0,0
674529,0,0,0,0,0,0,0,0,0,0,0
338188,1,2,0,0,0,0,38,0,6,0,0
626930,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,25,0,1,0,0
329854,0,0,0,0,0,0,0,4,0,0,0
204516,0,0,0,0,0,0,0,0,0,0,0
291645,0,0,1,0,0,0,0,0,0,0,5
28116,3,0,0,1,0,0,0,9,6,0,34
384638,0,0,23,0,0,1,0,0,0,152,10
310297,144,68,0,0,0,0,224,0,73,0,0
291644,0,0,0,0,0,0,0,0,0,0,0
46506,0,64,0,0,0,0,12,0,3,0,0
818,0,1,0,0,0,0,0,5,14,0,0
820,266,48,23,1,4,0,940,3,81,0,869
821,1,26,0,0,0,0,28,0,2,0,0
371601,0,0,0,0,0,0,0,0,0,0,0
487174,53,353,0,0,0,0,0,6,1,0,0
394098,0,1,0,5,0,0,0,0,16,2,0
1680,0,0,0,0,0,0,0,0,0,0,0
1683,0,0,0,0,0,0,0,0,0,0,0
28025,0,0,0,0,0,0,0,0,0,0,0
1681,1,3,0,0,0,0,86,0,0,0,0
1685,39,10,0,0,0,0,876,3,0,0,0
1686,1,0,0,0,0,0,2,0,0,0,0
1689,0,0,0,0,0,0,0,0,0,0,0
216816,434,673,0,0,1,0,1197,24,48,0,0
28026,0,0,0,0,0,0,0,0,0,0,0
1694,0,0,0,0,0,0,0,0,0,0,0
35833,0,0,0,0,4,0,0,0,0,0,0
1322,0,0,0,0,0,0,71,0,1,0,0
53443,0,0,0,0,0,0,0,0,0,0,0
33035,0,0,0,0,0,0,0,0,0,0,0
94624,0,0,0,0,0,0,0,0,0,0,0
664662,0,0,0,0,0,0,0,0,0,0,0
43669,0,0,0,0,0,0,0,0,0,0,0
173362,0,26,0,0,0,0,0,9,0,0,0
84378,0,0,0,0,0,0,6,0,0,0,0
52584,0,0,0,0,0,0,0,0,0,0,0
1703,0,0,0,0,0,0,0,0,0,0,0
479117,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0
120576,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
28095,0,0,0,0,0,0,0,0,0,0,0
501571,0,0,0,0,0,0,62,0,8,0,0
544644,0,0,0,0,0,0,0,0,0,0,0
45851,0,0,11,0,130,5,0,1,0,32,13
199,0,0,0,0,0,0,0,0,0,0,0
76517,0,0,0,0,0,0,0,0,0,0,0
197,105,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0
28080,0,0,0,0,0,0,3,0,0,0,0
827,0,0,0,0,0,0,0,0,0,0,0
281120,0,0,0,0,0,0,0,0,0,0,0
33989,0,0,0,0,0,0,0,0,0,0,0
