,Taxon,CBA001,ECO004_D0101_SG1_1_S0,DRL001,BRF001,TRO001,LEI010,MLP001,CMN001
85,k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrososphaerales,0.0,104134.0,0.0,0.0,0.0,0.0,0.0,0.0
86,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,0.0,3734783.0,3164628.0,0.0,0.0,0.0,0.0,0.0
87,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.0,1168264.0,0.0,0.0,0.0,0.0,0.0,0.0
88,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.0,1069477.0,0.0,0.0,0.0,625525.0,317121.0,0.0
89,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae,0.0,624541.0,423359.0,0.0,0.0,0.0,0.0,305816.0
90,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae,0.0,300009.0,0.0,0.0,0.0,0.0,0.0,0.0
91,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,0.0,299826.0,406487.0,104676.0,0.0,0.0,0.0,0.0
92,k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrososphaerales|f__Nitrososphaeraceae,0.0,104134.0,0.0,0.0,0.0,0.0,0.0,0.0
93,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,0.0,3734783.0,3164628.0,0.0,0.0,0.0,0.0,0.0
94,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter,0.0,1168264.0,0.0,0.0,0.0,0.0,0.0,0.0
95,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified,0.0,1000350.0,0.0,0.0,0.0,0.0,275887.0,0.0
96,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae|g__Rhodobiaceae_unclassified,0.0,624541.0,423359.0,0.0,0.0,0.0,0.0,305816.0
97,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillaceae_unclassified,0.0,300009.0,0.0,0.0,0.0,0.0,0.0,0.0
98,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus,0.0,299826.0,406487.0,104676.0,0.0,0.0,0.0,0.0
99,k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera,0.0,104134.0,0.0,0.0,0.0,0.0,0.0,0.0
100,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium,0.0,69127.0,0.0,0.0,0.0,625525.0,41234.0,0.0
101,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Salinispora,0.0,28837.0,0.0,0.0,0.0,0.0,0.0,0.0
102,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified,0.0,3734783.0,2895879.0,0.0,0.0,0.0,0.0,0.0
103,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_unclassified,0.0,1313858.0,0.0,0.0,0.0,0.0,0.0,621670.0
104,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_unclassified,0.0,1168264.0,0.0,0.0,0.0,0.0,0.0,0.0
105,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified,0.0,299826.0,406487.0,104676.0,0.0,0.0,0.0,0.0
106,k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera|s__Candidatus_Nitrososphaera_gargensis,0.0,104134.0,0.0,0.0,0.0,0.0,0.0,0.0
107,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes,0.0,69127.0,0.0,0.0,0.0,625525.0,41234.0,0.0
108,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Salinispora|s__Salinispora_unclassified,0.0,28837.0,0.0,0.0,0.0,0.0,0.0,0.0
109,k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera|s__Candidatus_Nitrososphaera_gargensis|t__GCF_000303155,0.0,104134.0,0.0,0.0,0.0,0.0,0.0,0.0
110,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified,0.0,69127.0,0.0,0.0,0.0,625525.0,41234.0,0.0
111,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,0.0,0.0,1977191.0,705706.0,484370.0,0.0,0.0,197958.0
112,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales,0.0,0.0,1386833.0,0.0,0.0,571127.0,0.0,317378.0
113,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae,0.0,0.0,1644277.0,705706.0,484370.0,0.0,0.0,197958.0
114,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae,0.0,0.0,1386833.0,0.0,0.0,0.0,0.0,317378.0
115,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,0.0,0.0,332914.0,0.0,0.0,0.0,0.0,0.0
